受注No,受注日,得意先,得意先注文No,製品名１,製品名２,受注数量,単位,台数,受注金額,納期,納期返事,版区,入日,工程１－工程名,工程１－号機名,工程１－完了日,工程１－完了数,工程２－工程名,工程２－号機名,工程２－完了日,工程２－完了数,工程３－工程名,工程３－号機名,工程３－完了日,工程３－完了数,工程４－工程名,工程４－号機名,工程４－完了日,工程４－完了数,工程５－工程名,工程５－号機名,工程５－完了日,工程５－完了数,工程６－工程名,工程６－号機名,工程６－完了日,工程６－完了数,工程７－工程名,工程７－号機名,工程７－完了日,工程７－完了数,工程８－工程名,工程８－号機名,工程８－完了日,工程８－完了数,工程９－工程名,工程９－号機名,工程９－完了日,工程９－完了数,工程１０－工程名,工程１０－号機名,工程１０－完了日,工程１０－完了数,最終納品日,最終伝票No,納品金額,状態１,状態２
0000327223-000,2026/06/12,福岡産業,ORD-95029,不織布 ロール 100μ 透明,,7280,ｍ,  0,476710,2026/06/29,2026/06/29,新版,2026/06/19,印刷,1号機,2026/06/24 確,0,ラミネート,Ｌ2号機,2026/06/25 確,0,スリッター,３号機,2026/06/26 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327224-000,2026/06/12,千葉フィルム㈲,ORD-50425,透明 カップ 300μ 黒,,20000,枚,  0,374267,2026/07/01,,旧版,,印刷,1号機,2026/06/24 確,0,ラミネート,宮内紙工,2026/06/25 確,0,ラミ２回目,宮内紙工,2026/06/25 確,0,三方,製袋３その他,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327225-000,2026/06/12,福岡産業,ORD-57139,OPP 袋 100μ 青,,7280,ｍ,  0,637727,2026/06/29,2026/06/29,新版,2026/06/19,印刷,1号機,2026/06/24 確,0,ラミネート,Ｌ2号機,2026/06/25 確,0,スリッター,３号機,2026/06/26 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327226-000,2026/06/12,浜松メディア,,PET パウチ 300μ 銀,,325,ｍ,  0,621433,2026/06/19,2026/06/19,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,2026/06/18 完,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/19,348895,588640,,
0000327227-000,2026/06/12,福岡産業,ORD-22924,NY チューブ 100μ クリア,,7280,ｍ,  0,941814,2026/06/29,2026/06/29,新版,2026/06/19,印刷,1号機,2026/06/24 確,0,ラミネート,Ｌ2号機,2026/06/25 確,0,スリッター,３号機,2026/06/26 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327228-000,2026/06/12,浜松パッケージ,ORD-71537,PE フィルム 300μ 透明,,4400,枚,  0,898625,2026/07/27,,改版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,           未,0,ラミネート,Ｌ2号機,           未,0,スリッター,６号機,           未,0,サイド,１号機,           未,0,後加工,後加工（耳き,           未,0,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327229-000,2026/06/12,川崎サプライ(株),ORD-51973,CPP シート 100μ 黒,,22545,枚,  0,312994,2026/08/12,2026/08/17,旧版,,印刷,5-Ｆ号機,2026/08/01 確,0,スリッター,４号機,2026/08/03 確,0,サイド,５号機,2026/08/06 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327230-000,2026/06/12,川崎サプライ(株),ORD-58589,EVOH テープ 300μ 青,,27555,枚,  0,428122,2026/08/12,2026/08/17,旧版,,印刷,1-Ｆ号機,2026/08/05 確,0,スリッター,４号機,2026/08/06 確,0,サイド,５号機,2026/08/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327231-000,2026/06/12,川崎サプライ(株),ORD-64254,AL トレー 100μ 銀,,12827,枚,  0,147936,2026/08/12,2026/08/17,旧版,,印刷,5-Ｆ号機,2026/08/01 確,0,スリッター,４号機,2026/08/03 確,0,サイド,５号機,2026/08/06 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327232-000,2026/06/12,長崎産業,ORD-83731,紙 ラベル 300μ クリア,,5520,ｍ,  0,39002,2026/08/03,2026/08/03,旧版,,印刷,3号機,2026/07/29 確,0,スリッター,２号機,2026/07/31 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327233-000,2026/06/12,千葉フィルム㈲,ORD-29126,不織布 ロール 100μ 透明,,100000,枚,  0,117007,2026/07/15,2026/07/23,旧版,,印刷,1号機,2026/06/26 確,0,ラミネート,Ｌ１号,2026/07/10 確,0,スリッター,４号機,2026/07/13 確,0,サイド,２９号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327234-000,2026/06/12,千葉フィルム㈲,ORD-44180,透明 カップ 300μ 黒,,100000,枚,  0,680189,2026/08/18,2026/07/24,旧版,,印刷,1号機,2026/06/26 確,0,ラミネート,Ｌ１号,2026/07/10 確,0,スリッター,４号機,2026/07/13 確,0,サイド,２９号機,2026/07/21 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327235-000,2026/06/12,千葉ラベル㈲,ORD-86550,OPP 袋 100μ 青,,13666,枚,  0,707275,2026/08/03,2026/08/07,旧版,,印刷,3号機,2026/07/22 確,0,ラミネート,Ｌ１号,2026/07/24 確,0,スリッター,６号機,2026/07/27 確,0,サイド,１９号機,2026/08/04 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327236-000,2026/06/12,千葉ラベル㈲,ORD-64732,PET パウチ 300μ 銀,,46000,枚,  0,409531,2026/07/21,2026/08/04,無地,,スリッター,５号機,2026/07/14 確,0,サイド,１８号機,2026/08/01 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327237-000,2026/06/12,千葉ラベル㈲,ORD-29976,NY チューブ 100μ クリア,,73846,枚,  0,305721,2026/07/13,,旧版,,印刷,5-Ｆ号機,2026/07/09 確,0,スリッター,３号機,2026/07/10 確,0,合掌,西岡製袋（合,2026/07/13 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327238-000,2026/06/12,東京製作所㈱,,PE フィルム 300μ 透明,,20000,枚,  0,445888,2026/07/24,,改版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/07/09 確,0,ラミネート,Ｌ2号機,2026/07/10 確,0,検品機,社内検品機２,2026/07/13 確,0,スリッター,６号機,2026/07/14 確,0,三方,合田製袋（三,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327239-000,2026/06/15,福岡パッケージ,ORD-40149,PET パウチ 300μ 銀,,38800,ｍ,  0,498290,2026/07/02,2026/07/16,旧版,,印刷,5号機,2026/07/14 確,0,スリッター,２号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327240-000,2026/06/15,神戸デザイン(有),ORD-84683,CPP シート 100μ 黒,,1900,ｍ,  0,973844,2026/07/21,,改版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327241-000,2026/06/15,新潟加工(有),,EVOH テープ 300μ 青,,3920,ｍ,  0,42208,2026/07/30,,無地,,スリッター,２号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327242-000,2026/06/15,岡山ラベル㈲,ORD-75444,AL トレー 100μ 銀,,19400,ｍ,  0,6530,2026/07/06,2026/07/06,,,スリッター,２号機,2026/07/03 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327243-000,2026/06/15,岡山フィルム㈲,ORD-43728,透明 カップ 300μ 黒,,47466,枚,  0,900441,2026/07/03,,旧版,,印刷,2号機,2026/07/21 確,0,ラミネート,Ｌ１号,2026/07/21 確,0,スリッター,６号機,2026/07/22 確,0,サイド,１４号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327244-000,2026/06/15,浜松メディア,ORD-74044,透明 カップ 300μ 黒,,15360,ｍ,  0,94108,2026/08/18,2026/08/18,旧版,,印刷,5-Ｆ号機,2026/08/03 確,0,スリッター,２号機,2026/08/04 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327245-000,2026/06/15,岡山フィルム㈲,ORD-74303,紙 ラベル 300μ クリア,,22400,枚,  0,583214,2026/07/07,,旧版,,印刷,2号機,2026/07/21 確,0,ラミネート,Ｌ１号,2026/07/21 確,0,スリッター,６号機,2026/07/23 確,0,サイド,１４号機,2026/07/27 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327246-000,2026/06/15,埼玉製作所㈱,,不織布 ロール 100μ 透明,,4032,ｍ,  0,276405,2026/06/19,2026/06/19,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,2026/06/17 完,4402,印刷,2-Ｆ号機,2026/06/18 完,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327247-000,2026/06/15,仙台ラベル㈲,,透明 カップ 300μ 黒,,80640,ｍ,  0,868367,2026/07/16,2026/07/23,旧版,,印刷,5-Ｆ号機,2026/07/17 確,0,スリッター,２号機,2026/07/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327248-000,2026/06/15,仙台ラベル㈲,,OPP 袋 100μ 青,,18600,ｍ,  0,933592,2026/07/16,,旧版,,印刷,1-Ｆ号機,2026/07/16 確,0,ラミネート,宮内紙工,2026/07/21 確,0,スリッター,２号機,2026/07/23 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327249-000,2026/06/15,熊本プリント㈱,ORD-56160,PET パウチ 300μ 銀,,7440,ｍ,  0,277487,2026/07/10,2026/07/27,旧版,,印刷,2-Ｆ号機,2026/07/16 確,0,ラミネート,Ｌ１号,2026/07/23 確,0,スリッター,５号機,2026/07/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327250-000,2026/06/15,仙台ラベル㈲,,EVOH テープ 300μ 青,,39600,ｍ,  0,28344,2026/07/06,2026/07/15,無地,,スリッター,５号機,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327251-000,2026/06/15,岡山フィルム㈲,ORD-81636,NY チューブ 100μ クリア,,15000,枚,  0,74004,2026/07/13,2026/07/23,旧版,2026/06/23,印刷,2-Ｆ号機,2026/07/01 確,0,ラミネート,Ｌ１号,2026/07/14 確,0,スリッター,６号機,2026/07/15 確,0,サイド,１９号機,2026/07/21 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327252-000,2026/06/15,岡山フィルム㈲,ORD-34123,PE フィルム 300μ 透明,,30000,枚,  0,668471,2026/07/15,2026/08/03,旧版,,印刷,4号機,2026/07/21 確,0,ラミネート,Ｌ１号,2026/07/22 確,0,スリッター,６号機,2026/07/23 確,0,サイド,１５号機,2026/07/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327253-000,2026/06/15,岡山フィルム㈲,ORD-94123,CPP シート 100μ 黒,,45000,枚,  0,161585,2026/07/15,2026/08/03,旧版,2026/06/24,印刷,4号機,2026/07/21 確,0,ラミネート,Ｌ１号,2026/07/22 確,0,スリッター,６号機,2026/07/23 確,0,サイド,１５号機,2026/07/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327254-000,2026/06/15,横浜デザイン(有),ORD-78674,OPP 袋 100μ 青,,34200,ｍ,  0,135466,2026/07/06,,旧版,,印刷,5-Ｆ号機,2026/06/26 確,0,ラミネート,宮内紙工,2026/06/30 確,0,スリッター,２号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327255-000,2026/06/15,熊本プリント㈱,ORD-19742,EVOH テープ 300μ 青,,7360,ｍ,  0,957730,2026/07/21,,旧版,,印刷,3号機,2026/07/14 確,0,ラミネート,宮内紙工,2026/07/15 確,0,スリッター,６号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327256-000,2026/06/15,札幌プリント㈱,,AL トレー 100μ 銀,,60000,枚,  0,97584,2026/07/27,2026/08/07,無地,,スリッター,５号機,2026/07/16 確,0,サイド,２９号機,2026/08/04 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327257-000,2026/06/15,札幌プリント㈱,,紙 ラベル 300μ クリア,,19000,枚,  0,150871,2026/09/01,,無地,,サイド,６号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327258-000,2026/06/15,福岡パッケージ,ORD-10836,不織布 ロール 100μ 透明,,21111,枚,  0,532424,2026/07/22,2026/07/24,旧版,,印刷,4号機,2026/07/08 確,0,サイド,２３号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327259-000,2026/06/15,千葉フィルム㈲,ORD-28021,透明 カップ 300μ 黒,,46080,ｍ,  0,983472,2026/08/06,,旧版,,印刷,フソー,           未,0,スリッター,フソー,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327260-000,2026/06/15,千葉フィルム㈲,ORD-92667,OPP 袋 100μ 青,,46080,ｍ,  0,342675,2026/08/06,,旧版,,印刷,フソー,           未,0,スリッター,フソー,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327261-000,2026/06/15,千葉印刷㈲,ORD-18908,PET パウチ 300μ 銀,,61000,枚,  0,841521,2026/08/21,,無地,,スリッター,３号機,           未,0,サイド,タクショウ,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327262-000,2026/06/15,千葉フィルム㈲,ORD-29795,NY チューブ 100μ クリア,,202909,枚,  0,109585,2026/08/06,,旧版,,印刷,フソー,           未,0,スリッター,フソー,           未,0,サイド,山丸,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327263-000,2026/06/15,福岡メディア,ORD-38668,EVOH テープ 300μ 青,,28800,枚,  0,630299,2026/11/27,,,,ラミネート,Ｌ2号機,           未,0,スリッター,６号機,           未,0,サイド,１７号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327264-000,2026/06/15,新潟加工(有),,PE フィルム 300μ 透明,,16380,枚,  0,578160,2026/07/24,,無地,,ラミネート,宮内紙工,           未,0,スリッター,５号機,           未,0,合掌,９号機,2026/08/01 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327265-000,2026/06/15,大阪フィルム㈲,,PE フィルム 300μ 透明,,33882,枚,  0,491329,2026/09/21,,旧版,,印刷,5-Ｆ号機,           未,0,サイド,２６号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327266-000,2026/06/15,広島テック(株),ORD-17923,CPP シート 100μ 黒,,7520,ｍ,  0,747847,2026/07/17,,旧版,,印刷,5-Ｆ号機,2026/07/22 確,0,ラミネート,宮内紙工,2026/07/23 確,0,検品機,社内検品機２,           未,0,スリッター,５号機,2026/07/28 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327267-000,2026/06/15,仙台ラベル㈲,,EVOH テープ 300μ 青,,79200,ｍ,  0,768706,2026/07/07,2026/07/22,無地,,スリッター,５号機,2026/07/21 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327268-000,2026/06/15,広島テック(株),ORD-97392,EVOH テープ 300μ 青,,7520,ｍ,  0,746467,2026/07/17,,旧版,,印刷,5-Ｆ号機,2026/07/22 確,0,ラミネート,宮内紙工,2026/07/23 確,0,検品機,社内検品機２,           未,0,スリッター,５号機,2026/07/28 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327269-000,2026/06/15,新潟工業(有),ORD-73334,AL トレー 100μ 銀,,10680,ｍ,  0,791309,2026/08/18,2026/08/18,旧版,,印刷,5号機,2026/08/04 確,0,ラミネート,Ｌ2号機,2026/08/07 確,0,スリッター,２号機,2026/08/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327270-000,2026/06/15,新潟工業(有),ORD-73944,紙 ラベル 300μ クリア,,3680,ｍ,  0,116495,2026/08/18,,旧版,2026/06/23,印刷,2号機,2026/07/22 確,0,ラミネート,Ｌ１号,2026/08/06 確,0,スリッター,５号機,2026/08/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327271-000,2026/06/15,新潟工業(有),ORD-10866,不織布 ロール 100μ 透明,,3560,ｍ,  0,658065,2026/08/18,,旧版,,印刷,4号機,2026/08/04 確,0,ラミネート,Ｌ１号,2026/08/06 確,0,スリッター,５号機,2026/08/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327272-000,2026/06/15,新潟工業(有),ORD-82305,透明 カップ 300μ 黒,,3640,ｍ,  0,63914,2026/08/18,2026/06/23,旧版,,印刷,4号機,2026/08/04 確,0,ラミネート,Ｌ１号,2026/08/06 確,0,スリッター,５号機,2026/08/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327273-000,2026/06/15,新潟工業(有),ORD-11553,OPP 袋 100μ 青,,14880,ｍ,  0,117538,2026/08/24,,旧版,,印刷,5号機,2026/08/05 確,0,ラミネート,Ｌ2号機,2026/08/07 確,0,スリッター,２号機,2026/08/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327274-000,2026/06/15,新潟工業(有),ORD-79391,PET パウチ 300μ 銀,,7280,ｍ,  0,857273,2026/08/24,,旧版,,印刷,5号機,2026/08/05 確,0,ラミネート,Ｌ2号機,2026/08/07 確,0,スリッター,２号機,2026/08/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327275-000,2026/06/15,新潟工業(有),ORD-46010,PET パウチ 300μ 銀,,45600,ｍ,  0,661762,2026/08/24,,旧版,,印刷,5号機,           未,0,ラミネート,Ｌ2号機,           未,0,スリッター,２号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327276-000,2026/06/15,新潟工業(有),ORD-47576,NY チューブ 100μ クリア,,7360,ｍ,  0,117975,2026/08/24,,旧版,,印刷,4号機,           未,0,ラミネート,Ｌ１号,           未,0,スリッター,５号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327277-000,2026/06/15,新潟工業(有),ORD-75826,PE フィルム 300μ 透明,,7440,ｍ,  0,952657,2026/08/24,,旧版,,印刷,4号機,           未,0,ラミネート,Ｌ１号,           未,0,スリッター,５号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327278-000,2026/06/15,新潟工業(有),ORD-98346,PE フィルム 300μ 透明,,3800,ｍ,  0,66436,2026/08/28,2026/08/28,旧版,,印刷,2-Ｆ号機,2026/08/24 確,0,スリッター,５号機,2026/08/25 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327279-000,2026/06/15,新潟工業(有),ORD-33496,CPP シート 100μ 黒,,10680,ｍ,  0,212214,2026/08/28,2026/08/28,旧版,,印刷,5号機,2026/08/04 確,0,ラミネート,Ｌ2号機,2026/08/07 確,0,スリッター,２号機,2026/08/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327280-000,2026/06/15,新潟工業(有),ORD-22624,CPP シート 100μ 黒,,34000,枚,  0,649857,2026/08/04,,旧版,,印刷,1号機,2026/07/24 確,0,ラミネート,Ｌ2号機,2026/07/29 確,0,スリッター,６号機,2026/07/30 確,0,サイド,１４号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327281-000,2026/06/15,浜松パッケージ,ORD-29516,EVOH テープ 300μ 青,,33461,枚,  0,352674,2026/07/21,,新版,2026/06/23,印刷,2号機,2026/07/22 確,0,ラミネート,Ｌ１号,2026/07/23 確,0,スリッター,６号機,2026/07/27 確,0,サイド,１４号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327282-000,2026/06/15,浜松パッケージ,ORD-35156,PE フィルム 300μ 透明,,7200,ｍ,  0,749887,2026/07/15,2026/07/21,旧版,,印刷,5号機,2026/07/16 確,0,スリッター,３号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327283-000,2026/06/15,新潟工業(有),ORD-79003,AL トレー 100μ 銀,,3800,ｍ,  0,43084,2026/07/24,2026/07/28,旧版,,印刷,2-Ｆ号機,2026/07/24 確,0,スリッター,５号機,2026/07/27 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327284-000,2026/06/15,浜松パッケージ,ORD-56457,紙 ラベル 300μ クリア,,7600,ｍ,  0,380310,2026/07/15,2026/07/21,旧版,,印刷,5号機,2026/07/16 確,0,スリッター,３号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327285-000,2026/06/15,浜松パッケージ,ORD-62022,不織布 ロール 100μ 透明,,7600,ｍ,  0,182857,2026/07/15,2026/07/21,旧版,,印刷,5号機,2026/07/16 確,0,スリッター,３号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327286-000,2026/06/15,浜松パッケージ,ORD-58896,透明 カップ 300μ 黒,,7200,ｍ,  0,525750,2026/07/15,2026/07/21,旧版,,印刷,5号機,2026/07/16 確,0,スリッター,３号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327287-000,2026/06/15,新潟デザイン(有),ORD-70161,CPP シート 100μ 黒,,11040,ｍ,  0,692447,2026/07/08,,旧版,,印刷,3号機,           未,0,ラミネート,宮内紙工,           未,0,スリッター,６号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0000327288-000,2026/06/15,千葉ラベル㈲,ORD-41877,透明 カップ 300μ 黒,,26461,枚,  0,831105,2026/07/28,,旧版,,印刷,3号機,2026/07/21 確,0,ラミネート,Ｌ2号機,2026/07/28 確,0,スリッター,４号機,2026/07/29 確,0,サイド,トヨパック,2026/07/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327289-000,2026/06/15,新潟加工(有),,OPP 袋 100μ 青,,14956,枚,  0,336828,2026/07/14,,無地,,ラミネート,宮内紙工,           未,0,スリッター,３号機,           未,0,サイド,２０号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327290-000,2026/06/15,岡山印刷㈲,ORD-49318,PET パウチ 300μ 銀,,15826,枚,  0,99658,2026/08/21,2026/08/21,旧版,,印刷,5-Ｆ号機,2026/08/08 確,0,サイド,２３号機,2026/08/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327291-000,2026/06/15,新潟工業(有),ORD-20566,NY チューブ 100μ クリア,,29120,枚,  0,95686,2026/07/15,,旧版,,印刷,2-Ｆ号機,2026/07/07 確,0,三角,平川ポリ,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327292-000,2026/06/15,浜松メディア,ORD-95182,NY チューブ 100μ クリア,,48000,枚,  0,14152,2026/06/22,,無地,,カット大谷,大谷ｶｯﾄ,2026/06/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327293-000,2026/06/15,浜松産業,ORD-22255,AL トレー 100μ 銀,,11760,ｍ,  0,63120,2026/06/26,,旧版,,印刷,山一包材,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327294-000,2026/06/15,浜松産業,ORD-59710,AL トレー 100μ 銀,,22750,枚,  0,59436,2026/07/07,2026/07/22,旧版,,印刷,5-Ｆ号機,2026/07/09 確,0,サイド,２３号機,2026/07/16 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327295-000,2026/06/15,浜松産業,ORD-82443,PE フィルム 300μ 透明,,15360,ｍ,  0,599127,2026/07/01,2026/07/13,旧版,,印刷,5号機,2026/06/30 確,0,スリッター,３号機,2026/07/10 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327296-000,2026/06/15,熊本製作所㈱,ORD-17355,CPP シート 100μ 黒,,12714,枚,  0,93459,2026/07/24,,改版,2026/06/23,印刷,4号機,2026/07/22 確,0,サイド,２３号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327297-000,2026/06/16,相模テック(株),ORD-11238,EVOH テープ 300μ 青,,20000,枚,  0,836986,2026/07/08,,旧版,,印刷,2号機,2026/07/23 確,0,ラミネート,Ｌ１号,2026/07/23 確,0,スリッター,６号機,2026/07/27 確,0,サイド,１４号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327298-000,2026/06/16,相模テック(株),ORD-32463,AL トレー 100μ 銀,,30000,枚,  0,186702,2026/07/08,,旧版,,印刷,2号機,2026/07/23 確,0,ラミネート,Ｌ１号,2026/07/23 確,0,スリッター,６号機,2026/07/27 確,0,サイド,１４号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327299-000,2026/06/16,広島サプライ(株),ORD-75517,紙 ラベル 300μ クリア,,7360,ｍ,  0,986392,2026/07/28,2026/07/28,旧版,,印刷,5号機,2026/07/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327300-000,2026/06/16,相模テック(株),ORD-66873,不織布 ロール 100μ 透明,,10000,枚,  0,776234,2026/07/08,,旧版,,印刷,2号機,2026/07/23 確,0,ラミネート,Ｌ１号,2026/07/23 確,0,スリッター,６号機,2026/07/27 確,0,サイド,１４号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327301-000,2026/06/16,相模テック(株),ORD-53420,CPP シート 100μ 黒,,20000,枚,  0,693343,2026/07/08,,旧版,,印刷,2号機,2026/07/23 確,0,ラミネート,Ｌ１号,2026/07/23 確,0,スリッター,６号機,2026/07/27 確,0,サイド,１４号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000327302-000,2026/06/16,札幌クリエイト㈱,ORD-22499,CPP シート 100μ 黒,,19862,枚,  0,653815,2026/07/14,,無地,,普通製袋,製袋２その他,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
